"nome","statistiche","descrizione","tecnica","critico","altro"
"Abyssal Chimera","10 HP, 1 Armor, 14 STR, 8 DEX, 8 WIL, Razorsharp Tentacles (d12), Devouring Maw (d8)","A hybrid marine creature with sharp tentacles and bioluminescent gills. Can emit lethal sound waves and swallow entire ships.","Its eerie bioluminescence and monstrous form instill fear in sailors who dare to venture into its territory.","When critically damaged, unleashes a powerful shockwave (blast), causing underwater tremors and creating a disorienting vortex."
"Abyssal Leviathan","14 HP, 3 Armor, 18 STR, 8 DEX, 6 WIL, Destructive Waves (d12, blast), Powerful Water Jets (d8)","A massive sea creature with armored scales. Can generate destructive waves, launch powerful water jets, and crush ships with its immense strength.","Its imposing presence and control over water and waves make it a formidable adversary in aquatic environments.","When critically damaged, releases a surge of primal water energy, causing a massive tidal wave that engulfs the area and damages enemies in its path, while also using the water energy to rapidly heal its own wounds."
"Acidic Insectoid","2 HP, 0 Armor, 8 STR, 12 DEX, 6 WIL, Corrosive Acid Spray (d6, acid)","A mutant insect that sprays corrosive acid. Can quickly evade and attack from various angles.","Its ability to launch acidic attacks and maneuver swiftly makes it a nimble and hazardous adversary.","When critically damaged, releases a concentrated burst of corrosive acid, creating a temporary area of hazardous terrain that damages foes who come into contact with it while also using the acidic properties to partially heal its own wounds."
"Antimatter Specter","2 HP, 0 Armor, STR 10, DEX 14, WIL 12, Antimatter Burst (d8, blast)","Entity forged from antimatter essence. Possesses the power to annihilate anything it makes contact with.","Capable of generating explosive antimatter bursts.","Can phase through solid objects, allowing it to move unhindered."
"Arachnid Drone","6 HP, 1 Armor, 12 STR, 14 DEX, 10 WIL, Sharp Legs (d6), Fangs (d6, poison)","Eightlegged insectoids with a tough chitinous exoskeleton, the size of a large dog, living in colonies.","They are connected by a hive mind commanded by the queen.","The poison causes immobility and hallucinations, to allow the victim to be digested."
"Arachnid Queen","8 HP, 2 Armor, 14 STR, 10 DEX, 14 WIL, Acid Spit (d8, poison)","As large as three drones, it shows a huge uterine pouch from which it expels eggs continuously.","Head of the arachnid colony, the only member to have independent consciousness.","It will have 2d6 drones in its defense if attacked directly."
"Armored Knight","8 HP, 3 Armor, 14 STR, 12 DEX, 10 WIL, Energy Blades (d8), Shockwave (d10, blast)","An imposing armored warrior with an unyielding suit of armor. Can strike with energyinfused swords, generate protective shields, and charge enemies with great force.","Its unwavering resolve and heavy armor make it a steadfast guardian on the battlefield.","When critically damaged, channels residual energy into a devastating shockwave, briefly stunning and disorienting nearby foes."
"Armored Predator","6 HP, 3 Armor, 12 STR, 12 DEX, 10 WIL, Powerful Claws (d8), Steel Fists d6), Shockwave Strikes (d10, blast)","Beast adorned with armored exoskeleton.","Equipped with powerful claws for rending prey and steel fists for devastating strikes.","Can unleash shockwaves by channeling the force of its blows, affecting the environment and adversaries."
"Astral Leviathan","18 HP, 3 Armor, 18 STR, 8 DEX, 8 WIL, Astral Tentacles (d10)","Astral Leviathan is a massive, ethereal creature that seems to exist in multiple dimensions at once. It has long, otherworldly tentacles that can phase in and out of reality.","Astral Leviathan can project itself into other dimensions, making it difficult to hit with physical attacks.","On a critical hit, Astral Leviathan's tentacles can deal extra damage and phase out the target, making them momentarily unable to act."
"Binary Warrior","6 HP, 3 Armor, 12 STR, 14 DEX, 12 WIL, Binary Sword (d8)","Binary Warrior is a humanoid creature with a body made of digital code. It wields a sword that can take the form of any weapon.","Binary Warrior can take on a binary form, making it immune to physical damage and increasing its speed.","On a critical hit, Binary Warrior's sword can overload the target's systems, dealing extra damage and shortcircuiting any electronic devices they may be carrying."
"Bio-Guerrilla","5 HP, 2 Armor, 12 STR, 10 DEX, 6 WIL, Sharp Claws (d8)","A hybrid between human and animal, enhanced with biomechanical prosthetics. Possesses superhuman agility, sharp claws, and the ability to blend into the surrounding environment.","Exhibits a blend of organic and mechanical traits, making it a versatile and formidable combatant.","When critically damaged, deploys an emergency energy surge, temporarily enhancing its speed and strength."
"Bio-Magnetic Triton","4 HP, 1 Armor, STR 10, DEX 12, WIL 14, Claws (d6)","A halfhuman, halffish creature with the ability to manipulate magnetism.","Can generate magnetic fields to manipulate objects and attacks, attracting or repelling them.","When critically damaged it reelease a magnetic storm: destabilizes any electronic component and inflicts d6 damage to anyone wearing them"
"Bio-Organic Carapace","6 HP, 3 Armor, 10 STR, 12 DEX, 10 WIL, Venomous Claws (d6, poison)","A creature with an impenetrable organic exoskeleton. Possesses venomous claws, natural shields, and the ability to regenerate rapidly.","Its durable carapace and offensive capabilities make it a resilient and dangerous opponent.","When critically damaged, releases a surge of regenerative energy, restoring health and enhancing its defenses temporarily."
"Bio-Spore","4 HP, 1 Armor, 12 STR, 12 DEX, 8 WIL, Poisonous Spores (d4, blast)","A fungoid creature with poisonous spores that attaches to living hosts. Capable of releasing toxic gas and regenerating by absorbing organic substances.","Its ability to cling onto its victims and the poisonous nature of its spores make it a persistent threat in closequarters encounters.","When critically damaged, ruptures its own fungal structure, releasing a cloud of debilitating spores that hinder opponents' movements."
"Bio-Wolf","6 HP, 1 Armor, 6 STR, 8 DEX, 8 WIL, Retractable Claws (d6), Paralyzing Howl (d4, paralyze)","A genetically modified wolf with retractable claws and powerful muscles. Possesses advanced night vision and the ability to emit paralyzing howls.","Its genetic enhancements make it a swift and deadly predator, particularly effective during nighttime encounters.","When critically damaged, enters a frenzied state, attacking with increased ferocity but reduced defensive capabilities."
"Bioelemental","10 HP, 1 Armor, 10 STR, 14 DEX, 16 WIL, Fire Blast (d8, blast), Earthwave Shock (d10, blast), Lightining Storm (d12 , blast)","A living creature that commands natural elements. Capable of generating fire, manipulating water, causing earthquakes, and conjuring storms.","Its connection to the elements grants it a diverse range of powers, making it a formidable force in various environments.","When critically damaged, unleashes a chaotic surge of elemental energy, causing erratic elemental disturbances in the surroundings."
"Biomechanical Exterminator","8 HP, 1 Armor, STR 12, DEX 12, WIL 10, Sharp Claws (d6), Integrated Plasma Cannons (d12, blast)","Hybrid being bridging organic and mechanical domains. Equipped with razorsharp claws for close combat engagements.","Possesses integrated plasma cannons for ranged destructive power.","Capable of regenerating its form using nanomachines."
"Black Destroyer","6 HP, 0 Armor, 12 STR, 16 DEX, 16 WIL, Claws (d6)","Intelligent space feline that resembles a fearsome giant panther.","Both a chaser and a pouncer, higly intelligent (as or more than humans).","Clash of wills: save against WIL. If fail, the destroyer has enhanced attack for the duration of the fight."
"Blisterback","12 HP, 3 Armor, 12 STR, 8 DEX, 6 WIL, Sharp Claws and Tail (d8), Caustic Venom (d6, poison)","A large, quadrupedal creature with a tough, scaly hide. Its tail is tipped with a venomous barb that can cause severe burns.","Able to produce a corrosive venom that can melt through armor.","On a critical hit, Blisterback deals extra damage and causes the target's armor to become weaker."
"Bloodsucker","4 HP, 1 Armor, 10 STR, 12 DEX, 8 WIL, Sharp Tentacles (d6)","Parasitic entity clinging to life forms. Attaches to living organisms to absorb their life energy for sustenance.","Capable of swift selfhealing by utilizing the absorbed life energy.","Equipped with sharp tentacles for both attack and clinging."
"Chaotic Fungus","4 HP, 1 Armor, 12 STR, 10 DEX, 8 WIL, Immobilizing Tentacles (d8), Toxic Spores (d4, blast)","A mutant fungus with toxic spores and tentacles that can immobilize prey. Capable of rapid regeneration and adapting to various environmental conditions.","Its everchanging form and poisonous abilities make it a hazardous and adaptable opponent.","When critically damaged, releases a cloud of highly toxic spores, spreading poison and causing disorientation to foes that come into contact with them."
"Chromophage","4 HP, 1 Armor, 8 STR, 10 DEX, 6 WIL, Multicolored Laser Beams (d8)","An alien insect that absorbs and reflects light. Capable of emitting multicolored laser beams and confusing enemies with optical illusions.","Its ability to manipulate light makes it a unique and versatile adversary in various environments.","When critically damaged, releases a dazzling burst of refracted light, temporarily blinding and disorienting foes in its vicinity."
"Chrono-Distorted Being","6 HP, 1 Armor, 12 STR, 12 DEX, 14 WIL, Temporal Blades (d6), Temporal Blast (d8, blast)","A creature that manipulates time and space. Can slow down or speed up time, create fields of temporal distortion, and attack with temporal blades.","Its mastery over the fabric of reality allows it to control the flow of time and create chaotic battlegrounds.","When critically damaged, releases a burst of temporal energy, causing localized time fluctuations that distort reality, briefly disorienting and slowing down nearby enemies."
"Chuvoid","5 HP, 0 Armor, 10 STR, 12 DEX, 6 WIL, Spine (d6), Poisonous Thorns (d4, poison, ranged, blast)","Carnivorous giant pod plants, capable of swallowing a humanoid whole","They capture their victims with the pod. They throw spines in defense.","Poisonous thorns will cause death within minutes if left untreated."
"Collective Mind","7 HP, 2 Armor, 4 STR, 6 DEX, 8 WIL, Telepathic Energy (d10, blast)","An entity composed of a group of linked telepaths. They can communicate instantly among themselves and combine their abilities to attack enemies.","Their collective intelligence and shared abilities make them a challenging adversary, as they work together seamlessly.","When critically damaged, unleash a surge of unified telepathic energy, briefly linking their minds and abilities to create a powerful mental assault on nearby enemies, while also using the surge to bolster their own resolve and resilience."
"Combat Robot","5 HP, 3 Armor, 14 STR, 12 DEX, 10 WIL, Rifled Arm (d8)","Automaton designed for war. If it acquires a target nothing will stop it.","Insectoid design: can to move on all types of terrain and surface.","Immune to mental manipulation, but vulnerable to kinetic attacks."
"Cosmic Tempest Adept","4 HP, 1 Armor, STR 10, DEX 14, WIL 16, Stellar Wind Manipulation (d8), Quantum Vortex Strike (d10, blast)","Psionic prodigy wielding the forces of cosmic winds.","Skilled in conjuring interstellar gales and controlling cosmic currents.","On a critical hit, the Adept unleashes a burst of quantum energy, warping spacetime around the target, causing additional disorienting effects and damage."
"Cryo-Hunter","8 HP, 3 Armor, 8 STR, 12 DEX, 6 WIL, Cryogenic Claws (d6), Freezing Breath (d8, blast)","CryoHunter is a quadrupedal creature with a sleek body and icy blue fur.","It has long claws and can breathe freezing air.","On a critical hit, the CryoHunter exhale a blast of freezing air at its enemies."
"Cryptic Serpent","6 HP, 2 Armor, STR 10, DEX 14, WIL 12, Constricting Coils (d8), LifeDrain (d4)","Shadowy entity fashioned into serpentine form.","Capable of phasing through shadows for stealth and unpredictable movement.","It siphon the life force of adversaries, replenishing its own vitality."
"Crystal Colossus","9 HP, 3 Armor, 14 STR, 6 DEX, 6 WIL, Light Beam (d8), Energy Barrier Generation","A colossal creature composed of indestructible crystals. Possesses a powerful concentrated light beam and the ability to generate defensive energy barriers.","Its immense size and unyielding crystal structure make it a formidable and imposing presence.","When critically damaged, channels excess energy into a blinding flash of light, temporarily disorienting and weakening nearby opponents."
"Crystal Guardian","6 HP, 2 Armor, 12 STR, 10 DEX, 12 WIL, Penetrating Crystal Projectiles (d8)","A creature enveloped in an unyielding crystal armor.","Its crystalline defense and offensive capabilities make it a stalwart guardian of valuable locations.","When critically damaged, channels excess energy into a burst of crystalline shrapnel, creating a hazardous area that inflicts damage to nearby foes."
"Cyber-Owl","2 HP, 1 Armor, 6 STR, 8 DEX, 6 WIL, Sonic Waves (d6, Stunning)","A cybernetic owl with Xray vision eyes and sharp talons. Capable of emitting sonic waves to stun enemies and flying silently.","Its blend of natural owl characteristics and technological upgrades make it a stealthy and formidable scout.","When critically damaged, releases a burst of disorienting sonic pulses, creating confusion and temporary auditory impairment among foes."
"Cybernetic Chimera","7 HP, 2 Armor, 6 STR, 8 DEX, 6 WIL, Retractable Claws (d6), Electric Pulses (d8, blast)","A fusion of genetically modified creatures, equipped with cybernetic enhancements. Possesses retractable claws, mechanical wings, and the ability to emit electric pulses.","Its amalgamation of traits from various species and technological augmentations make it a versatile and unpredictable adversary.","When critically damaged, triggers a surge of electrical energy, temporarily electrifying its claws."
"Cybernetic Mimic","4 HP, 1 Armor, 8 STR, 12 DEX, 6 WIL, Surprise Attacks (d6)","A cybernetic entity capable of blending into the surrounding environment. Can generate electromagnetic disruption fields and launch surprise attacks.","Its advanced technology and mimetic abilities make it an elusive and unpredictable adversary.","When critically damaged, activates a temporary cloaking system, rendering itself partially invisible and increasing its evasive capabilities, while also using the disruption fields to briefly disrupt enemy targeting systems and enhance its own agility."
"Cyberspawn","8 HP, 4 Armor, 8 STR, 8 DEX, 12 WIL, Hacking Claws (d8)","A humanoid creature with robotic enhancements. It has sharp claws and advanced hacking abilities.","Able to hack and control nearby technology, making it a formidable opponent in a hightech environment.","On a critical hit, Cyberspawn can hack a target's systems and turn them against their allies."
"Cyberswarm","6 HP, 2 Armor, 6 STR, 12 DEX, 8 WIL, Weapon Cybernetic Claws (d8)","A swarm of small, insectlike robots. They are able to merge into a larger, more powerful form for combat.","Able to hack and control nearby technology, making it a formidable opponent in a hightech environment.","On a critical hit, Cyberswarm can hack a target's systems and turn them against their allies."
"Cyber Demon","8 HP, 3 Armor, 8 STR, 12 DEX, 14 WIL, Razorsharp Claws (d8), Demonic Explosion (d10, blast)","A demonic entity with cybernetic implants. Possesses razorsharp claws, metallic wings, and the ability to generate demonic explosions.","Its infernal and technological nature make it a relentless and fearsome opponent in both physical and supernatural confrontations.","When critically damaged, channels demonic energy into a devastating explosion, causing fiery damage and leaving residual demonic energy in the area."
"Cyber Jackal","3 HP, 1 Armor, 8 STR, 12 DEX, 6 WIL, Retractable Claws (d6), Electromagnetic Dart Launcher (d6)","Mechanical predator enhanced with advanced sensors.","Equipped with retractable claws for precise attacks and increased lethality.","Can launch electromagnetic darts to disable enemy systems and technology."
"Cyber Shark","7 HP, 2 Armor, 6 STR, 8 DEX, 6 WIL, Razorsharp Teeth (d6), Sonic Shockwaves (d10, blast)","A marine shark enhanced with cybernetic implants. Possesses razorsharp teeth, resilient armor, and the ability to generate sonic shockwaves.","Its natural predatory instincts combined with technological upgrades make it a fearsome predator in aquatic environments.","When critically damaged, releases a powerful sonic burst that disorients and temporarily immobilizes nearby underwater foes."
"Cyborg Centaur","6 HP, 2 Armor, 10 STR, 14 DEX, 8 WIL, Integrated Cannons (d12, Piercing Projectiles), Powerful Claws (d8)","A creature that is part human and part machine, with powerful claws and cannons integrated into its mechanical arms. Can move swiftly and fire penetrating projectiles.","Its hybrid nature grants it both strength and technological firepower, making it a formidable combatant.","When critically damaged, overloads its integrated cannons, releasing an explosive burst of energy projectiles in all directions."
"Cyborg Hitman","5 HP, 3 Armor, 10 STR, 12 DEX, 8 WIL, Retractable Blades (d8), Laser Eyes (d6)","A cyborg designed for assassination purposes. Possesses retractable blades, laser eyes, and superhuman strength. Capable of blending into the surrounding environment.","Its robotic enhancements make it an efficient and lethal operative, equipped for covert and lethal missions.","When critically damaged, overclocks its systems, temporarily boosting its combat capabilities and speed, at the cost of stability."
"Cyclone Guardian","8 HP, 1 Armor, 8 STR, 12 DEX, 8 WIL, Wind Blades (d6), Whirlwind (d8, blast)","A humanoid creature with a body made of swirling wind and dust. It wields dual blades that can create powerful gusts of wind.","Able to create a whirlwind that engulfs its enemies, making them more vulnerable to its attacks.","On a critical hit, Cyclone Guardian can unleash a devastating tornado that deals extra damage and knockdown enemies."
"Dark Hunter","7 HP, 1 Armor, 8 STR, 12 DEX, 14 WIL, Lethal Strikes (d8)","A creature that lurks in the darkness, striking swiftly and with precision. Can summon deadly shadows, blend into the environment, and deliver lethal strikes.","Its affinity for darkness and mastery over shadowy entities make it a formidable adversary in dimly lit or nighttime settings.","When critically damaged, unleashes a burst of shadowy energy that envelops the area, hindering enemies' vision and movement temporarily."
"Data Specter","2 HP, 1 Armor, STR 10, DEX 12, WIL 16, Unarmed (d4)","Digital entity woven from malicious code.","Capable of infiltrating computer systems and networks.","Can control and manipulate networks, causing malfunctions and damage."
"Demolition Exoskeleton","8 HP, 3 Armor, 14 STR, 8 DEX, 6 WIL, Devastating Mechanical Punches (d10), Seismic Shockwaves (d12, blast), Missile Launchers (d8)","A massive war mech suit designed for demolition. Capable of delivering devastating mechanical punches, generating seismic shockwaves, and launching missiles.","Its raw power and offensive capabilities make it a formidable adversary in confrontations requiring overwhelming force.","When critically damaged, triggers a selfdestruct sequence that causes a series of powerful explosions, dealing heavy damage to foes in the vicinity."
"Design Hologram","2 HP, 1 Armor, 4 STR, 4 DEX, 12 WIL, Holographic Weapons (see Inventory Lists)","A holographic entity specialized in object creation. Can generate temporary weapons and tools.","Its ability to conjure objects on the fly makes it a serious threat.","When critically damaged, unleashes a burst of creative energy, rapidly manifesting a variety of useful objects and gadgets."
"Digital Mind","6 HP, 1 Armor, 4 STR, 6 DEX, 8 WIL, Reality Manipulation","An advanced artificial intelligence that exists solely in the digital realm. Can control computer networks and manipulate virtual reality.","Its mastery over digital systems and ability to alter the fabric of virtual worlds make it a formidable adversary in the realm of data and information.","When critically damaged, initiates a digital surge, temporarily overloading nearby electronic systems and creating a virtual anomaly that distorts perception and disrupts communication, while also utilizing the digital energy to repair and enhance its own virtual existence."
"Dimensional Riftwalker","7 HP, 2 Armor, 4 STR, 8 DEX, 6 WIL, Extradimensional Blades (d8), Dimensional Rift (d10, blast)","A creature capable of opening dimensional portals. Can teleport instantly and attack with extradimensional blades.","Its ability to manipulate space and traverse dimensions makes it a highly mobile and elusive adversary.","When critically damaged, opens a temporary rift to an unstable dimension, causing erratic energy discharges that damage and disorient nearby foes."
"Electric Banshee","4 HP, 1 Armor, 8 STR, 10 DEX, 12 WIL, Electric Wail (d6, paralyze), Energy Discharge (d8, blast)","An electric spirit emitting piercing wails. Capable of conjuring electric storms and releasing energy discharges that paralyze enemies.","Its haunting and electrifying presence leaves a palpable sense of unease.","When critically damaged, lets out a cacophony of dissonant screams, disrupting nearby spellcasting and concentration."
"Electric Mutant","6 HP, 2 Armor, 8 STR, 10 DEX, 8 WIL, Electric Discharges (d8, blast)","A being with the power to manipulate electricity. Can generate electric shocks, create defensive energy fields, and paralyze enemies with a single touch.","Its control over electrical energy and formidable defensive capabilities make it a dangerous opponent.","When critically damaged, releases a surge of electric energy in all directions, creating a shockwave that damages and momentarily stuns nearby enemies, while also harnessing the energy to reinforce its own defenses and resilience."
"Electric Specter","6 HP, 2 Armor, STR 10, DEX 14, WIL 12, Thunderous Strikes (d10, blast)","Energetic apparition traveling via electrical pathways.","Can command the surrounding electricity to its will.","Capable of discharging potent lightning strikes as attacks."
"Electronic Sphinx","8 HP, 3 Armor, STR 10, DEX 12, WIL 14, Laser Emission (d8), Disruption Fields","Cybernetic marvel possessing vast artificial intelligence.","Capable of generating fields of disruption to interfere with enemy systems.","Proficient at solving complex riddles and enigmas."
